"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	9	0.0882822022074834	0.0106797136832029	0.359080742212551	0.33176697400568	0.35699	0.36069	0.33917	0.37135	0.36152	0.37286	0.33785	0.36	0.37129	0.76281	0.02345	66.35456	-21.54776	0.0902003844620549	0.08635	0.08822	0.08815	0.08819	0.08818	0.09663	0.09142	0.08844	0.09623	0.95428	0.01029	89.40287	-6.1759	0.0952866307358339	0.09195	0.09388	0.09253	0.09429	0.09367	0.10117	0.09514	0.09391	0.10105	0.94147	0.01165	85.94586	-5.97295
"mult"	9	0.200155148992781	0.174477718304843	0.171123090452574	1.09797782269906	0.19293	0.11307	0.14186	0.40232	0.42592	-0.07055	0.23553	0.10803	-0.009	0.14356	0.18357	8.73344	-16.07488	0.151182304133844	0.16856	0.08151	0.14579	0.32506	0.33639	-0.00674	0.2163	0.04553	0.04824	-0.06803	0.205	5.64243	-21.43429	0.166824183230429	0.18702	0.09514	0.15354	0.37073	0.38441	-0.02711	0.235	0.06594	0.03675	0.05779	0.19255	7.3973	-18.70202
"mult"	9	0.379856817529071	0.189733462233562	0.480991199625906	1.46627763424473	0.44233	0.55456	0.59932	0.50014	0.29879	0.47493	0.43946	0.47814	0.54126	0.38923	0.2828	-3.3663	-6.78105	0.450558194252451	0.44156	0.5556	0.69079	0.35826	0.13054	0.33526	0.42958	0.43853	0.6749	0.52014	0.25067	0.01082	-17.88468	0.541304944343778	0.52869	0.65654	0.7499	0.48939	0.23507	0.44981	0.51368	0.5273	0.72137	0.60032	0.22877	2.57066	-11.87328
"mult"	9	0.458729428867809	0.192785921681207	0.5013617977365	1.74403820562998	0.39343	0.46248	0.62179	0.55297	0.5541	0.45821	0.33505	0.49666	0.63756	0.30928	0.35718	-9.90381	-13.74651	0.551978601793854	0.43335	0.40348	0.70235	0.55113	0.53036	0.61046	0.4473	0.5345	0.75487	0.67711	0.24421	0.74198	-9.38046	0.684578501647488	0.54375	0.57307	0.85698	0.71771	0.69594	0.70508	0.50665	0.67287	0.88917	0.5845	0.27703	-2.78827	-8.95616
"mult"	9	0.229493910598103	0.047956190072	0.250318118329339	1.13178027793161	0.26266	0.25102	0.27092	0.2855	0.21052	0.22467	0.26783	0.25177	0.22797	0.89267	0.03726	53.38442	-7.92447	0.204162933406417	0.20691	0.19065	0.23242	0.22338	0.16966	0.19007	0.23453	0.19708	0.19277	0.55848	0.07557	33.58414	-29.96256	0.235999600105144	0.24335	0.22752	0.26344	0.2641	0.19712	0.21491	0.2622	0.23217	0.21918	0.78798	0.05237	43.85412	-16.27352
"mult"	9	0.431670927768573	0.00444459222489968	0.640445745211147	1.26050682567044	0.66703	0.67754	0.62297	0.67626	0.64549	0.59154	0.5921	0.66775	0.62333	0.40606	0.22905	2.53663	-104.38216	0.430836727833799	0.43188	0.43308	0.42916	0.43261	0.42951	0.42928	0.43147	0.43302	0.42754	0.99983	0.00384	117.01928	-6.87949	0.550588545723693	0.56511	0.57271	0.54011	0.57197	0.55272	0.52277	0.52486	0.56631	0.53874	0.90435	0.09192	28.10242	-84.04126
"mult"	9	0.242348059511278	0.186424390354659	0.266974288705189	1.02949878440684	0.24324	0.29267	0.29206	0.29432	0.36095	0.27955	0.27333	0.1798	0.18686	0.52874	0.10355	24.76541	-10.45032	0.190916915324828	0.16856	0.21516	0.18036	0.22241	0.28413	0.22305	0.19187	0.11836	0.11436	0.28381	0.12765	18.90599	-17.19825	0.220283623137749	0.19729	0.24806	0.21822	0.25413	0.31727	0.2475	0.22171	0.14067	0.13769	0.42804	0.11408	22.05414	-13.5127
"mult"	9	0.113678418938071	0.22801582183456	0.0684496365600716	2.36300086486385	0.04591	0.20555	0.10919	0.09543	0.05592	0.06524	-0.02836	0.08179	-0.01462	0.24621	0.23684	1.60004	-24.80227	0.157711248900158	0.1197	0.50016	0.20242	0.23916	0.12117	0.1462	-0.052	0.13617	0.00642	0.12177	0.25564	-0.53915	-20.2191	0.159945849916435	0.11248	0.48466	0.23635	0.22887	0.12851	0.15166	-0.05726	0.17061	-0.01638	0.23353	0.23883	1.36634	-26.1479
"mult"	9	0.427545787638519	0.190566062810831	0.405449147794835	1.63358261067907	0.49014	0.47753	0.32315	0.47336	0.55165	0.32335	0.34772	0.40743	0.25471	0.56075	0.23018	2.39834	-8.75864	0.378337179416752	0.42785	0.43	0.25625	0.53553	0.55428	0.26281	0.36634	0.36102	0.21097	0.64308	0.20749	5.30424	-14.14352	0.486641058689587	0.57042	0.56359	0.34994	0.65299	0.68871	0.3463	0.44682	0.4782	0.2828	0.70415	0.18891	7.93146	-9.66793
"mult"	9	0.178292036568746	0.0684025759110227	0.345964155629065	0.778987637849148	0.37114	0.42865	0.28144	0.29616	0.25935	0.37363	0.42931	0.33033	0.34366	0.53016	0.08814	29.2761	-4.77741	0.191190775304764	0.17515	0.20794	0.1709	0.15922	0.13337	0.22747	0.24883	0.1874	0.21044	0.73698	0.06595	37.39853	-5.63951	0.214354449826296	0.20468	0.24226	0.18701	0.18174	0.15375	0.24764	0.27312	0.20966	0.22934	0.7247	0.06747	36.75923	-4.14193
"mult"	9	0.373944513045717	0.0764683789457195	0.522974594739181	1.24891005903819	0.54294	0.51912	0.47437	0.54827	0.53453	0.56338	0.46483	0.56342	0.49591	0.43649	0.20112	6.17799	-11.31969	0.38172790982873	0.36892	0.34435	0.35096	0.40112	0.44257	0.39764	0.41737	0.37904	0.33358	0.84698	0.1048	24.42861	-5.92271	0.474054587523161	0.46933	0.44964	0.43238	0.50379	0.53069	0.48744	0.47981	0.48864	0.42477	0.78685	0.12369	19.78846	-4.27209
"mult"	9	0.0872423326130956	0.00663890410214663	0.371043369867818	0.315271844506779	0.38089	0.36522	0.33943	0.38517	0.37731	0.35177	0.36136	0.40259	0.37566	0.79924	0.02071	69.82537	-28.66305	0.0877884407082071	0.08765	0.08079	0.07994	0.08839	0.08839	0.08627	0.09226	0.09433	0.09206	0.98188	0.00622	103.49644	-5.5001	0.0926708870587562	0.09309	0.08645	0.08436	0.09402	0.0935	0.09023	0.09595	0.0999	0.09655	0.97354	0.00752	98.19789	-8.90351
"mult"	9	0.0555961044155993	0.225901369238272	-0.0999978535767954	0.853209587714132	-0.02684	-0.03154	-0.15599	0.2558	-0.16776	-0.43709	-0.45234	-0.02994	0.14572	0.40997	0.21798	3.92334	-7.07656	-0.116636136335216	-0.04971	-0.08494	-0.15477	0.16826	-0.16631	-0.30292	-0.36311	-0.13813	0.0419	0.25729	0.24456	0.70154	-7.40875	-0.102870521351562	-0.03727	-0.05355	-0.14216	0.17784	-0.15353	-0.32576	-0.36245	-0.10139	0.07246	0.35037	0.22872	2.5763	-6.76069
"mult"	9	0.242240597435739	0.123834328609519	0.0912810722203113	3.14634474710708	0.09482	0.1014	0.14437	0.07174	0.1307	0.06966	0.0776	0.07652	0.05473	0.75625	0.09444	27.34363	-10.57803	0.231288581931268	0.24466	0.25964	0.37599	0.18899	0.34619	0.17819	0.19882	0.18226	0.10686	0.68672	0.10707	23.83024	-17.56922	0.269542873343244	0.28225	0.30065	0.43081	0.21445	0.39089	0.20595	0.22951	0.2215	0.14987	0.74968	0.0957	26.97153	-12.63859
"mult"	9	0.205707873182837	0.231647991691716	0.284730855721031	1.06367083932134	0.1735	0.27223	0.26585	0.42723	0.2578	0.0648	0.51826	0.24399	0.33893	0.1297	0.23095	2.30554	-15.20004	0.202986044570338	0.05044	0.16952	0.23669	0.25954	0.17214	0.12311	0.42628	0.15372	0.23543	-0.15337	0.26587	-1.63692	-22.39524	0.233108398669234	0.07587	0.20448	0.25976	0.31718	0.20389	0.11417	0.46441	0.18309	0.27514	-0.02051	0.25008	0.07649	-19.20844
"mult"	9	0.289455751236528	0.0594485939946026	0.491258318495822	0.945868861885233	0.47111	0.51526	0.41121	0.54102	0.49577	0.489	0.45896	0.54904	0.48996	0.66398	0.0999	25.77141	-19.05843	0.285432749405217	0.25881	0.26885	0.22513	0.29521	0.30296	0.32097	0.31162	0.30453	0.28082	0.90368	0.05348	43.26389	-13.72741	0.339824402620639	0.31548	0.33333	0.27166	0.3617	0.35625	0.36485	0.35194	0.3691	0.33411	0.93738	0.04312	49.2934	-7.72146
"mult"	9	0.2109755573445	0.0431051116320305	0.428255015151277	0.767783224546207	0.44669	0.4484	0.35188	0.41907	0.42693	0.37625	0.48493	0.47688	0.42326	0.58047	0.09361	27.59245	-10.1763	0.220412181873929	0.20338	0.22991	0.18548	0.21387	0.20698	0.21304	0.25342	0.25916	0.21849	0.88369	0.04929	45.55284	-5.88305	0.251187991795903	0.2405	0.26432	0.20988	0.24629	0.24014	0.23516	0.28332	0.29253	0.24856	0.83714	0.05832	40.84044	-4.87256
"mult"	9	0.289965857937932	0.0814886708976701	0.49354179665606	0.975128373962353	0.5361	0.54056	0.46047	0.50186	0.49998	0.47775	0.52101	0.46608	0.43806	0.48364	0.14774	14.81384	-8.06712	0.288646039485858	0.31899	0.30349	0.27508	0.28405	0.30184	0.24774	0.33529	0.27461	0.25673	0.80514	0.09076	28.45715	-10.38746	0.345799772540012	0.38028	0.37149	0.32704	0.34812	0.35767	0.30358	0.38657	0.33069	0.30677	0.78309	0.09576	26.95631	-5.24763
"mult"	9	0.177711087907664	0.0271186926984228	0.479992690850908	0.549058486717969	0.47797	0.46759	0.46488	0.50085	0.46519	0.48523	0.4506	0.50901	0.49862	0.6191	0.06157	39.32017	-21.16594	0.179502472113089	0.16894	0.16096	0.17614	0.17079	0.17708	0.20175	0.18593	0.18252	0.19142	0.94925	0.02248	67.5393	-8.08326	0.198652831879588	0.19004	0.18253	0.19375	0.1942	0.19576	0.21675	0.2002	0.20458	0.21005	0.9173	0.02869	60.70217	-10.27557
"mult"	9	0.372223535552621	0.221041843120474	0.466976023155489	1.35430368209311	0.38773	0.41635	0.58079	0.49384	0.29604	0.60678	0.59032	0.50923	0.3217	0.35501	0.25632	-0.61275	-12.88553	0.425375171509919	0.2447	0.32771	0.59525	0.40707	0.25465	0.64178	0.66992	0.35055	0.33676	0.50305	0.22499	3.03779	-19.98025	0.49737273258206	0.33466	0.40552	0.6677	0.49244	0.30738	0.70605	0.71581	0.4646	0.38219	0.55129	0.21379	4.4674	-16.78879
"mult"	9	0.0967800714191981	0.201457751449198	0.0690968658448584	1.44237996791961	0.06879	0.08045	0.08564	0.10667	-0.0135	0.13495	-0.09968	0.20782	0.05075	0.2139	0.23456	1.8711	-15.71851	0.106723294007392	0.098	0.18703	0.22901	0.11235	-0.16154	0.16593	-0.15285	0.34808	0.13451	-0.11776	0.2797	-3.05685	-21.04376	0.0943307262160476	0.0951	0.12991	0.14647	0.13003	-0.06341	0.18046	-0.14634	0.29644	0.08032	0.18453	0.2389	1.35762	-18.92553
"mult"	9	0.0749504518229514	0.123170836421195	0.105113960847192	0.800018787692193	0.11157	0.19874	0.00762	0.09783	0.10391	-0.04343	0.05779	0.18487	0.22712	0.28701	0.12671	19.11298	-16.00578	0.0629702914897992	0.08712	0.1237	-0.01512	0.07929	0.0844	-0.10864	0.03729	0.12188	0.15681	0.18946	0.1351	17.31772	-17.63592	0.0694796237327804	0.08521	0.13546	-0.00629	0.0751	0.08348	-0.08357	0.04037	0.12917	0.1664	0.25022	0.12994	18.40862	-17.20858
"mult"	9	0.0805778026115149	0.219527514360379	0.0269778336511919	3.88075483857507	0.02945	0.00642	0.09895	0.00314	-0.01696	0.00888	0.03333	-0.00159	0.08117	-0.21639	0.27658	-2.74305	-17.75515	0.0933956499504933	0.1115	0.01142	0.38668	0.02551	-0.0248	0.03476	0.09018	-0.03054	0.23585	-0.26304	0.28183	-3.26996	-21.11275	0.102012633369394	0.11314	0.02214	0.38275	0.01749	-0.05329	0.0345	0.1195	-0.01221	0.29409	-0.2197	0.27696	-2.78117	-18.30558
"mult"	9	0.485151187062729	0.202163190871943	0.536749947476869	1.73443328014431	0.58792	0.58265	0.48392	0.61371	0.62212	0.45224	0.5019	0.44961	0.53667	0.4298	0.31023	-5.95798	-8.48154	0.49746879519006	0.62627	0.52465	0.41599	0.54437	0.67091	0.42502	0.45319	0.3707	0.44613	0.85161	0.15826	12.88783	-11.73099	0.659903043893032	0.80722	0.71449	0.56614	0.74292	0.84235	0.54948	0.5859	0.52014	0.61049	0.78261	0.19156	7.54192	-3.7913
"mult"	9	0.358575814659707	0.125075172982179	0.427776626226821	1.37066295351055	0.42252	0.56367	0.39706	0.39097	0.4609	0.43906	0.40275	0.39329	0.37977	0.54171	0.17929	9.39506	-9.24963	0.3703596421608	0.30663	0.48496	0.39073	0.3397	0.35345	0.44746	0.38784	0.32264	0.29983	0.85449	0.10102	25.45672	-9.27202	0.453226119958007	0.40825	0.59827	0.45849	0.42048	0.44732	0.50899	0.45148	0.40673	0.37902	0.8009	0.11817	21.06677	-7.61175
"mult"	9	0.36678595073754	0.216805859468877	0.410592175301564	1.57325133782081	0.39296	0.45495	0.4446	0.45279	0.28265	0.22771	0.41786	0.51496	0.50684	0.46107	0.26233	-1.26225	-10.14026	0.381404772954693	0.32781	0.45486	0.46033	0.43289	0.27957	0.21471	0.43734	0.51348	0.31165	0.60457	0.22471	3.07231	-21.40198	0.482568465796525	0.43682	0.55836	0.5608	0.53002	0.34329	0.27605	0.52215	0.64188	0.47375	0.6456	0.21273	4.60611	-16.97556
"mult"	9	0.318573632091284	0.113720093329903	0.454843256791547	1.21474693245211	0.5026	0.3673	0.4933	0.52709	0.4815	0.44193	0.51817	0.41177	0.34994	0.42186	0.20217	6.03201	-4.8578	0.351807519843139	0.40089	0.22907	0.34948	0.44822	0.44089	0.314	0.44178	0.25401	0.28794	0.67895	0.15066	14.26703	-10.36544	0.418707256634888	0.4724	0.302	0.42537	0.52408	0.49749	0.38053	0.49961	0.32924	0.33764	0.65672	0.15578	13.32989	-5.07068
"mult"	9	0.350683289428707	0.232012295222376	0.346528698711247	1.72986312749766	0.40084	0.26691	0.31253	0.30821	0.34621	0.38678	0.49553	0.26622	0.33554	0.26444	0.29284	-4.34301	-9.28577	0.390717435223372	0.36116	0.28914	0.42389	0.35774	0.3545	0.45193	0.52504	0.33852	0.41454	0.64406	0.20371	5.8193	-10.32287	0.47739385616851	0.47325	0.37038	0.48494	0.44244	0.46306	0.54376	0.63114	0.39805	0.48953	0.54349	0.2307	2.33535	-10.11352
"mult"	9	0.492610749381129	0.236192376178224	0.483441110078635	1.7451881291541	0.43641	0.46944	0.40727	0.50259	0.5587	0.41543	0.48711	0.52919	0.54483	0.60412	0.20053	6.26053	-10.55355	0.46628516248601	0.36402	0.39913	0.40056	0.43115	0.51819	0.51431	0.5593	0.48745	0.52246	0.71855	0.16908	11.037	-18.40861	0.615969112094623	0.51458	0.56417	0.52349	0.60589	0.69619	0.61242	0.68051	0.65899	0.68749	0.86925	0.11524	21.7706	-2.56745
"mult"	9	0.347582662513014	0.0498223053873517	0.552185807319657	1.07950883086615	0.54978	0.59513	0.54228	0.5719	0.58677	0.53288	0.53958	0.505	0.54635	0.52737	0.15274	13.88209	-32.29073	0.349162032454301	0.3304	0.35095	0.35134	0.33338	0.3597	0.37079	0.37123	0.30985	0.3648	0.9726	0.03678	53.74965	-6.69829	0.426647540401696	0.41439	0.44395	0.42282	0.42334	0.44472	0.43251	0.43446	0.38637	0.43726	0.92237	0.0619	39.17174	-15.97859
"mult"	9	0.144834051199723	0.060026588733308	0.312570828220302	0.623613571015121	0.30598	0.30133	0.23578	0.32531	0.3936	0.34792	0.22147	0.27766	0.40408	0.52034	0.0708	35.41113	-7.17375	0.144698890382516	0.14866	0.13379	0.11325	0.14643	0.17198	0.16487	0.1131	0.13739	0.17281	0.75551	0.05055	44.84543	-9.70475	0.158115340722347	0.16107	0.14875	0.12295	0.1624	0.18922	0.1785	0.1204	0.14831	0.19144	0.71692	0.05439	42.79408	-8.19875
"mult"	9	0.15132852694951	0.209697264421266	0.206180743613926	0.936586578493146	0.21467	0.07128	0.28265	0.18785	0.07438	0.05966	0.08594	0.44664	0.43256	0.36127	0.17694	9.7648	-11.82395	0.145604257638061	0.18964	0.03072	0.21611	0.10784	0.05438	-0.02179	0.05514	0.3107	0.36769	0.2468	0.19214	7.4571	-13.51571	0.160293926020596	0.19328	0.04173	0.23369	0.1182	0.05781	0.00934	0.0631	0.34337	0.38215	0.30618	0.18441	8.60676	-13.0105
"mult"	9	0.396109206764959	0.158797027659602	0.475538580105489	1.40108467872628	0.49953	0.46289	0.46823	0.48111	0.52997	0.37138	0.59167	0.42252	0.45255	0.53724	0.17824	9.55955	-5.84821	0.374069600608356	0.3856	0.30152	0.33448	0.36361	0.45659	0.34227	0.5115	0.33825	0.33281	0.62723	0.15997	12.58683	-14.81028	0.474798088537864	0.50008	0.41578	0.43365	0.47414	0.56425	0.40689	0.61658	0.43436	0.42745	0.76924	0.12586	19.30121	-6.82839
"mult"	9	0.071812934265472	0.211753411218524	0.0727918998259208	0.709192560691457	0.25937	-0.00613	-0.0096	0.49562	0.25311	-0.46777	0.0633	-0.19543	0.26265	0.06579	0.21477	4.3389	-18.80902	0.0545579498802093	0.17447	0.01545	-0.01735	0.1929	0.10709	-0.1261	0.04001	-0.07503	0.17957	0.21274	0.19716	6.73496	-15.05194	0.0590430307030723	0.17805	0.01968	-0.01528	0.23708	0.12416	-0.15688	0.04183	-0.08349	0.18624	0.2257	0.19553	6.96739	-15.63208
"mult"	9	0.0560244603198953	0.136551832430996	0.0782640179946723	0.524878099755369	0.44417	0.04412	-0.06802	0.11083	0.31672	0.24485	-0.49309	-0.27903	0.38383	0.34738	0.13578	17.17847	-18.24434	0.0568938704070544	0.19106	0.02455	-0.02293	0.10007	0.19329	0.09518	-0.15315	-0.10675	0.19073	0.46492	0.12294	19.95857	-28.64153	0.0521140281303157	0.19699	0.02338	-0.02723	0.08719	0.17869	0.10107	-0.17042	-0.11182	0.19117	0.48233	0.12093	20.42151	-26.57045
"mult"	9	0.410107614961453	0.245210090768524	0.458558410418798	1.46710608330748	0.45189	0.40499	0.52654	0.51038	0.54605	0.42882	0.29957	0.56237	0.39641	0.27632	0.31275	-6.18434	-9.46754	0.423434127540897	0.43925	0.33969	0.43972	0.51743	0.53391	0.32411	0.3369	0.49611	0.38378	0.61482	0.22817	2.64462	-3.82751	0.518018673959954	0.52978	0.44145	0.5555	0.61349	0.63497	0.43238	0.38213	0.61311	0.45936	0.52601	0.25311	-0.25998	-5.94103
"mult"	9	0.138122049765661	0.247586587269325	0.180635037867002	0.995595243583469	0.18318	0.06654	0.32217	0.29688	0.18372	0.00204	0.35731	0.08206	0.13182	0.18823	0.22076	3.56919	-16.17719	0.117851283158616	0.07886	-0.00394	0.19607	0.23308	0.14612	-0.07434	0.32253	0.05917	0.10312	0.02472	0.24197	1.00009	-23.15973	0.138170477829761	0.11704	0.01376	0.234	0.25568	0.15864	-0.05494	0.33363	0.07213	0.11359	0.11947	0.22992	2.43088	-19.95112
"mult"	9	0.485516070271842	0.217772749660071	0.428418823159765	1.9184106167764	0.42916	0.51863	0.2401	0.55248	0.45515	0.43436	0.43196	0.43139	0.36253	0.45689	0.30983	-5.92144	-4.26046	0.490161188121683	0.38779	0.55558	0.2305	0.62115	0.64692	0.63119	0.57208	0.53017	0.23608	0.63687	0.25334	-0.28586	-12.93115	0.631514282070575	0.56698	0.73188	0.32399	0.80065	0.75968	0.7343	0.6885	0.67198	0.40567	0.6707	0.24125	1.08329	-7.47174
"mult"	9	0.307032162661199	0.0462065798346885	0.534195501593356	0.918352489114099	0.61895	0.55147	0.57117	0.56593	0.51872	0.51351	0.47499	0.47359	0.51943	0.63602	0.11023	23.01414	-17.58176	0.285595648857082	0.34225	0.29726	0.34674	0.28068	0.27244	0.28563	0.23946	0.23688	0.26902	0.8927	0.05985	40.11488	-17.54404	0.342982628937175	0.41108	0.36077	0.40214	0.34763	0.32925	0.33306	0.28613	0.2921	0.32469	0.93432	0.04682	46.98729	-7.34488
"mult"	9	0.0550480247591622	0.000114909606054425	0.309056695349842	0.224675163891072	0.31577	0.31924	0.30486	0.31936	0.31181	0.29513	0.29491	0.31591	0.30452	0.87863	0.00972	91.00325	-122.74885	0.0550254510395464	0.05503	0.05505	0.05499	0.05508	0.05515	0.055	0.05495	0.05504	0.05494	0.99998	0.00011	215.7433	-6.19387	0.05697587648013	0.05719	0.05732	0.0568	0.05735	0.05717	0.05652	0.05647	0.0572	0.05676	0.99711	0.0015	143.33879	-75.13112
"mult"	9	0.30260279821232	0.0937367125879973	0.428293629189845	1.11244826751278	0.44619	0.46349	0.37263	0.47575	0.466	0.33633	0.3924	0.51055	0.3913	0.57545	0.14128	16.06578	-3.42863	0.306348596665297	0.34494	0.31846	0.27239	0.29775	0.36485	0.24402	0.29825	0.33122	0.28526	0.84581	0.08514	30.24528	-12.97511	0.365582376175385	0.40352	0.3883	0.32134	0.37471	0.42587	0.28748	0.34537	0.40724	0.33643	0.80454	0.09586	26.92507	-6.51211
"mult"	9	0.256317152001429	0.176613624149468	0.0535567721111623	5.55975093480985	0.05667	0.05899	0.03129	0.07664	0.04972	0.0467	0.05076	0.04781	0.06342	0.6269	0.12997	18.40191	-11.61071	0.242855608953374	0.25603	0.25545	0.10893	0.36394	0.2487	0.20959	0.23669	0.22299	0.28339	0.57194	0.13922	16.47816	-15.07112	0.286567921441196	0.30348	0.31289	0.16003	0.41398	0.27125	0.24925	0.27298	0.25715	0.3381	0.6248	0.13034	18.32356	-12.28177
"mult"	9	0.466175996407401	0.24257250118535	0.424045255752107	1.9635423360436	0.36166	0.41337	0.48011	0.4921	0.42587	0.3664	0.32161	0.53023	0.42506	0.30595	0.34724	-9.11344	-5.94915	0.459392266158635	0.41859	0.46647	0.51299	0.50609	0.5337	0.40185	0.45019	0.47839	0.36625	0.60225	0.26287	-1.31923	-11.48388	0.612697989748583	0.5512	0.62449	0.67138	0.69109	0.67623	0.52951	0.54148	0.6997	0.52922	0.60059	0.26341	-1.37758	-7.22935
"mult"	9	0.438105560396798	0.123546884802636	0.549511158655175	1.45802168965958	0.53227	0.62297	0.4668	0.56489	0.55974	0.54417	0.54521	0.60293	0.50662	0.43122	0.24792	0.32031	-17.14021	0.452652232738556	0.41265	0.49276	0.3647	0.43122	0.48753	0.50729	0.47172	0.46135	0.44464	0.91952	0.09325	27.69745	-5.26002	0.578720692741152	0.54628	0.64956	0.47372	0.5745	0.61286	0.60531	0.57974	0.61149	0.55504	0.81503	0.14138	16.04632	-7.18508
"mult"	9	0.343279452202842	0.124492285191081	0.445083505924576	1.27647405130665	0.49857	0.4875	0.3718	0.44789	0.44461	0.34772	0.40351	0.45615	0.54801	0.49767	0.18056	9.19738	-8.60327	0.361258359318784	0.39754	0.30911	0.31419	0.30435	0.35644	0.28473	0.39196	0.38661	0.50641	0.77361	0.12121	20.35516	-11.34524	0.437206131663371	0.4855	0.40813	0.37554	0.39452	0.43617	0.34081	0.44288	0.46596	0.58535	0.74422	0.12884	18.64655	-4.61639
"mult"	9	0.169025553122628	0.123600806575269	0.228745380133586	0.833990551445343	0.24079	0.25026	0.15164	0.30201	0.42179	0.23283	0.09378	0.24393	0.12169	0.43614	0.09877	26.08748	-11.00648	0.131775916232155	0.1477	0.13122	0.07342	0.17415	0.23556	0.15865	0.06291	0.12916	0.07322	0.12819	0.12282	19.98686	-17.89859	0.148883859701315	0.16575	0.15188	0.08522	0.19885	0.2684	0.17133	0.06769	0.14911	0.08172	0.28092	0.11154	22.68315	-14.94139
"mult"	9	0.353912622353528	0.152957572136074	0.280487475377904	1.73635962192631	0.31852	0.18703	0.21218	0.36786	0.31113	0.21651	0.29347	0.28216	0.33553	0.78406	0.10547	24.25176	-8.99725	0.316407924001473	0.36667	0.17125	0.23749	0.42131	0.36087	0.18504	0.39762	0.31581	0.39161	0.33389	0.18523	8.48153	-29.76911	0.39412799942299	0.45418	0.23455	0.2953	0.52736	0.44652	0.25637	0.45497	0.39812	0.47978	0.66312	0.13173	18.02559	-18.98221
"mult"	9	0.445238415512722	0.148062707623467	0.424605004644721	1.91319790734929	0.47184	0.46462	0.42699	0.36601	0.39651	0.50826	0.41938	0.42407	0.34376	0.31605	0.33207	-7.86266	-12.05503	0.5134967958217	0.49006	0.57867	0.60586	0.43359	0.47087	0.57319	0.54845	0.47282	0.44797	0.74306	0.20353	5.84376	-3.04748	0.646676099374336	0.65878	0.7289	0.71377	0.56512	0.6058	0.70923	0.657	0.63021	0.55129	0.58912	0.25738	-0.72858	-6.73854
"mult"	9	0.202902280562557	0.126918648427818	0.410258591169202	0.650637244814544	0.52009	0.30899	0.41037	0.27486	0.50289	0.20708	0.36734	0.40582	0.69489	0.47344	0.0924	27.95413	-11.61417	0.167199353000898	0.20272	0.12209	0.17605	0.08762	0.18253	0.10337	0.17889	0.1721	0.27941	-0.07898	0.13227	17.91051	-24.62438	0.188609109084986	0.23094	0.14021	0.19645	0.10305	0.2101	0.11162	0.19471	0.19538	0.31503	0.13429	0.11848	20.99369	-18.59466
"add"	9	0.138019158132374	0.0731596546829678	0.399550140130909	0.510603817089455	0.27938	0.36901	0.39544	0.39459	0.44676	0.422	0.38233	0.44317	0.46327	0.33412	0.07941	32.19824	-8.31137	0.148761703953036	0.10357	0.13512	0.15993	0.12671	0.14638	0.18238	0.16183	0.15344	0.1695	0.55643	0.06481	37.88597	-11.03055	0.161070026773546	0.11246	0.14733	0.16939	0.14267	0.16294	0.19116	0.17069	0.16908	0.18391	0.53941	0.06604	37.35866	-10.28368
"add"	9	0.452640098589472	0.113361855561379	0.440882541089264	1.4978333959506	0.40969	0.4317	0.43024	0.43333	0.46155	0.58959	0.35452	0.46975	0.38758	0.55437	0.187	8.21541	-9.13282	0.404977006201294	0.30663	0.36473	0.34755	0.36618	0.45616	0.63415	0.38714	0.43102	0.35124	0.7738	0.13323	17.70836	-8.52304	0.504593874070867	0.40984	0.47767	0.45064	0.47868	0.5595	0.73096	0.45016	0.54328	0.44062	0.78272	0.13058	18.27201	-4.34794
"add"	9	0.166872576111928	0.0173941151006147	0.43058328647436	0.50790595891339	0.42981	0.39747	0.47045	0.46828	0.48232	0.3591	0.37262	0.45737	0.43782	0.78782	0.03755	53.1691	-18.27753	0.148843108218502	0.14793	0.13239	0.16295	0.15429	0.16578	0.13246	0.14412	0.14723	0.15244	0.94627	0.01889	72.39842	-11.01752	0.164021977178407	0.16378	0.1479	0.17894	0.17268	0.18305	0.14307	0.15438	0.16525	0.16715	0.97423	0.01309	82.68206	-6.52762
"add"	9	0.398535414016806	0.196347687742673	0.372086008481391	1.40498907687023	0.36834	0.42119	0.22914	0.36203	0.36066	0.29191	0.57684	0.3569	0.38176	0.52057	0.1887	7.96232	-6.07114	0.33927053904222	0.25381	0.36697	0.21525	0.34182	0.34291	0.27416	0.56768	0.35394	0.33691	0.78604	0.12606	19.25762	-10.63658	0.410731153144605	0.33689	0.45861	0.25906	0.41365	0.41274	0.33037	0.65016	0.41943	0.41568	0.74045	0.13884	16.5537	-6.90323
