"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"mult"	4	-0.998808076907881	0.0642346137901768	-0.804081213580023	2.04355837644946	0.00427	-0.00192	-1.61512	-1.60355	-43817.61715	15.40154	-40.53406	-23.39094	0.450136511189715	0	2.79879	0	-0.99825	-288556.02228	39.52306	-49.95823	-0.86814	-4.07313837587647	0.09631	-0.04325	-8.22278	-8.12283	-25332.12222	11.7106	-37.79433	-22.35149
"mult"	4	-0.583290680986829	0.102908125030808	-0.717423773780269	2.04355837644946	-0.06664	-0.07724	-1.35436	-1.37145	-14.52535	12.32729	-38.30754	-6.0766	-0.58868743224862	-0.55278	-0.61876	-0.58058	-0.60263	0.99732	0.16195	5.01529	-1.4947	-3.90080004904823	-1.31532	-1.5246	-6.32013	-6.44315	-5.8104	8.16457	-34.18742	-17.41432
"mult"	4	-0.924245069501922	0.24985686794389	-0.788111527338021	2.04355837644946	-0.00456	-0.00164	-1.59459	-1.55166	-1084.90541	15.11614	-40.34701	-13.97044	-0.392469117415849	0	0	-0.86599	-0.70389	-286.70031	7.78063	-33.70576	-0.42298	-3.96631593819165	-0.1015	-0.0359	-8.04639	-7.68147	-628.13796	11.50583	-37.61792	-19.6279
"mult"	4	-0.0782501908135601	0.186514903209172	-0.331043882448085	2.04355837644946	-0.22074	-0.19726	-0.44917	-0.457	-0.35192	1.65655	-18.23674	-8.00897	-0.0741272523485312	-0.07607	-0.06862	-0.0754	-0.07642	0.9646	0.26807	-0.02447	-1.48879	-1.30942456104187	-1.26773	-1.13991	-1.40479	-1.42527	0.85457	0.54332	-7.08879	-3.99821
"mult"	4	-0.0941562966327183	0.234805533604231	-0.380315762412417	2.04355837644946	-0.2041	-0.29874	-0.48937	-0.52906	-0.38529	1.85571	-19.37208	-4.84902	-0.0945268928532303	-0.08258	-0.1146	-0.08841	-0.09251	0.98628	0.18471	3.70024	-0.42465	-1.61706721882177	-1.31124	-1.85454	-1.60608	-1.69642	0.92776	0.42377	-4.60376	-1.79364
"mult"	4	-0.337759104836732	0.0133322664769366	-0.629050517106091	2.04355837644946	-0.16934	-0.17195	-1.08888	-1.08603	-4.44029	8.0954	-34.10235	-4.95407	-0.336301438208362	-0.33379	-0.33791	-0.33672	-0.33678	0.99985	0.04241	18.41426	-2.7204	-3.58865416705048	-2.48541	-2.52231	-4.6778	-4.6691	-0.26206	3.89912	-26.7969	-23.58065
"mult"	4	-0.123066233296413	0.135817894421052	-0.419673844100543	2.04355837644946	-0.23215	-0.2425	-0.57452	-0.62953	-0.88394	2.82605	-23.57817	-5.71993	-0.118501747906428	-0.11739	-0.12213	-0.11451	-0.11996	0.98311	0.26757	-0.0057	-2.07358	-1.92609718701258	-1.74042	-1.81408	-2.01115	-2.13873	0.80793	0.90236	-12.16193	-6.87781
"mult"	4	-0.775850511156023	0.215774882119149	-0.756879511616648	2.04355837644946	-0.04068	-0.03256	-1.48305	-1.47122	-54.41668	14.01854	-39.59319	-8.05004	-0.73320280936202	-0.79023	-0.69189	-0.75382	-0.69686	0.91727	0.54164	-7.05776	-0.62525	-3.95011375721559	-0.86252	-0.68995	-7.15511	-7.09288	-28.01295	10.14328	-36.3575	-13.89918
"mult"	4	-0.191727115167305	0.171449072484393	-0.519082805197997	2.04355837644946	-0.25058	-0.21295	-0.82348	-0.78932	-1.54009	4.54415	-28.32779	-5.07895	-0.194004185156039	-0.20949	-0.18212	-0.19407	-0.19034	0.99723	0.15007	5.77726	-2.73417	-2.73796452504225	-2.54031	-2.17842	-3.16342	-3.06972	0.73677	1.46283	-16.99311	-8.4568
"mult"	4	-0.741992101829965	0.065363539964892	-0.751524857253518	2.04355837644946	-0.02966	-0.03168	-1.4734	-1.47136	-41.66398	13.87179	-39.48795	-7.73775	-0.782837812333698	-0.78606	-0.81173	-0.78459	-0.74897	0.9602	0.42367	-4.60148	-1.01842	-3.88361473077145	-0.63565	-0.67913	-7.12378	-7.09589	-21.54404	10.08364	-36.29853	-22.72659
"mult"	4	-0.628002105443738	0.225374835310504	-0.734131887650181	2.04355837644946	-0.07117	-0.0729	-1.40769	-1.38477	-18.06532	12.5858	-38.51508	-6.40167	-0.74926244367045	-0.79289	-0.79857	-0.70593	-0.69966	0.774	1.3703	-16.33969	-1.54419	-4.02905147300894	-1.43438	-1.46859	-6.67766	-6.53557	-7.29631	8.30236	-34.35478	-15.63222
"mult"	4	-0.440081643674057	0.0418801431078464	-0.67655514335951	2.04355837644946	-0.13173	-0.13237	-1.2202	-1.22192	-7.13247	10.05191	-36.26702	-5.25616	-0.446351455933014	-0.44918	-0.45081	-0.44183	-0.44358	0.99803	0.15639	5.36492	-3.23715	-3.87071029268106	-2.24905	-2.25978	-5.48055	-5.49346	-1.5252	5.60125	-30.41929	-21.30872
"mult"	4	-0.811198779114056	0.186670253402553	-0.762395141298644	2.04355837644946	-0.00617	-0.00147	-1.53176	-1.51018	-81.49992	14.49173	-39.92516	-8.96387	-0.529892283229989	-0.44694	-0.08343	-0.85999	-0.72921	-4.0962	3.60178	-26.00365	-0.9802	-3.77738764472206	-0.13688	-0.03246	-7.5458	-7.39441	-46.90909	11.04339	-37.2077	-15.49132
"mult"	4	-0.816896048141643	0.227123439777642	-0.770608820427361	2.04355837644946	-0.01174	-0.00683	-1.51107	-1.5528	-102.75512	14.43274	-39.88438	-9.57963	-0.786627589913594	-0.86105	-0.62237	-0.77491	-0.88818	0.85874	0.53255	-6.88855	-1.57928	-3.87915163489481	-0.25991	-0.15119	-7.38344	-7.72206	-57.47899	10.83538	-37.01755	-18.26872
"mult"	4	-0.762004865519702	0.00641190260648727	-0.754453474212138	2.04355837644946	-0.02511	-0.02515	-1.48385	-1.48371	-50.35918	14.06984	-39.62972	-8.03715	-0.751907627802109	-0.74715	-0.74795	-0.75774	-0.75479	0.998	0.08785	11.13206	-1.21485	-3.86495146783995	-0.54201	-0.54288	-7.18828	-7.18664	-26.80894	10.35314	-36.56229	-32.11239
"mult"	4	-0.430647466669325	0.182255122344941	-0.662706756883386	2.04355837644946	-0.11216	-0.11575	-1.21402	-1.20889	-7.18072	10.16993	-36.38374	-5.29865	-0.407542414254931	-0.38427	-0.39447	-0.42617	-0.42526	0.96943	0.62168	-8.43607	-1.19665	-3.68951694434561	-1.92586	-1.9865	-5.43485	-5.41086	-1.84958	6.00223	-31.1107	-11.17614
"mult"	4	-0.475185688992497	0.228829347295687	-0.68567227963393	2.04355837644946	-0.09872	-0.11649	-1.28857	-1.23891	-9.10399	10.71228	-36.9033	-5.55373	-0.456908372668454	-0.41534	-0.47538	-0.487	-0.44991	0.98915	0.35108	-2.7221	-2.16966	-3.82724915521736	-1.76309	-2.0773	-5.89739	-5.57121	-2.65013	6.43858	-31.81246	-19.09621
"mult"	4	-0.566319694917183	0.103148812195286	-0.712270908046001	2.04355837644946	-0.0809	-0.08335	-1.33759	-1.34724	-14.00067	12.03859	-38.07056	-6.02474	-0.572335085157681	-0.57216	-0.58359	-0.57323	-0.56037	0.99733	0.16075	5.08984	-0.81913	-3.91285462033561	-1.56748	-1.61437	-6.2192	-6.25037	-5.32408	7.81662	-33.75191	-16.91396
"mult"	4	-0.914682827540673	0.000433331646490842	-0.7854801876052	2.04355837644946	-0.00329	-0.00327	-1.56772	-1.56764	-399.95408	14.99815	-40.26865	-11.93524	-0.905215753179881	-0.90262	-0.89919	-0.91002	-0.90904	0.9943	0.05653	15.54036	-0.94122	-3.94935892847274	-0.07361	-0.07316	-7.82564	-7.82503	-230.49663	11.39627	-37.52224	-41.81013
"mult"	4	-0.862776062008925	0.114616480015684	-0.774508406496422	2.04355837644946	-0.01139	-0.00153	-1.52994	-1.55517	-146.90478	14.74174	-40.09622	-10.06571	-0.566007466493175	0	-0.55382	-0.82962	-0.8806	-5.81735	3.16494	-24.71073	-1.98034	-3.88617476830115	-0.25372	-0.03348	-7.52671	-7.73079	-83.90433	11.16921	-37.321	-21.24661
"mult"	4	-0.621748842857778	0.0926745859324001	-0.724402344645823	2.04355837644946	-0.06581	-0.05876	-1.38111	-1.39192	-18.18075	12.73548	-38.6333	-6.39038	-0.625753646642557	-0.65321	-0.60333	-0.60673	-0.63974	0.99558	0.19325	3.2483	-2.16324	-3.89120053710255	-1.32759	-1.18543	-6.47691	-6.57488	-7.88758	8.6691	-34.78704	-21.80407
"mult"	4	-0.35049756426597	0.144544936716557	-0.635382442861787	2.04355837644946	-0.17615	-0.16079	-1.09126	-1.11333	-4.55354	8.35754	-34.42103	-4.94894	-0.35211060139854	-0.36698	-0.34145	-0.34758	-0.35244	0.9997	0.06169	14.66761	-2.5266	-3.64790045484924	-2.63508	-2.41337	-4.72321	-4.81994	-0.31856	4.07233	-27.23153	-17.68221
"mult"	4	-0.180952913919464	0.0570500807953067	-0.511149288848472	2.04355837644946	-0.22567	-0.23603	-0.79603	-0.78688	-1.58349	4.22552	-27.60081	-4.95325	-0.182774933820283	-0.1795	-0.18635	-0.18348	-0.18177	0.99926	0.07159	13.17845	-0.90012	-2.63951253832285	-2.22328	-2.31768	-3.02462	-2.99247	0.74537	1.32658	-16.0154	-11.69688
"mult"	4	-0.879795650846791	0.136208846990485	-0.7784315838795	2.04355837644946	-0.007	-0.00443	-1.54867	-1.55363	-185.03074	14.77194	-40.11668	-10.3952	-0.774265128590371	-0.71173	-0.62651	-0.87608	-0.88275	0.65508	0.63607	-8.66485	-2.03632	-3.91205042516802	-0.15564	-0.09883	-7.68062	-7.71311	-105.62764	11.18356	-37.33384	-19.96582
"mult"	4	-0.697479891346302	0.0744279634673148	-0.741541890458508	2.04355837644946	-0.03984	-0.03974	-1.44854	-1.43806	-30.19076	13.52248	-39.23292	-7.15003	-0.679753976815667	-0.67166	-0.67045	-0.69978	-0.67713	0.99377	0.19114	3.35794	-0.62836	-3.87044261284715	-0.83718	-0.83499	-6.94404	-6.86556	-14.93983	9.66685	-35.87642	-20.77745
"mult"	4	-0.25510928571457	0.0156346228905022	-0.577617260256825	2.04355837644946	-0.20649	-0.20625	-0.94558	-0.95214	-2.7733	6.1624	-31.37406	-4.83457	-0.255490853110654	-0.25606	-0.25581	-0.25395	-0.25614	0.99999	0.00981	33.05277	-1.61878	-3.20160437647293	-2.53486	-2.532	-3.85376	-3.8858	0.39877	2.45986	-22.19041	-19.99654
"mult"	4	-0.382194010389503	0.249890880775638	-0.662889660218994	2.04355837644946	-0.15271	-0.18914	-1.11278	-1.19693	-4.8647	8.77046	-34.90327	-4.97721	-0.420641880727831	-0.40922	-0.46817	-0.38425	-0.42093	0.92706	0.97811	-12.96802	-2.26217	-3.91283376519308	-2.43502	-2.97452	-4.88739	-5.35441	-0.29647	4.12364	-27.35675	-11.38205
"mult"	4	-0.7423338509514	0.11867380462354	-0.753347000880154	2.04355837644946	-0.03403	-0.03747	-1.48023	-1.46166	-40.93099	13.88672	-39.49872	-7.66378	-0.767516921173724	-0.75997	-0.80966	-0.77557	-0.72486	0.97945	0.3074	-1.39336	-1.4734	-3.93101822110163	-0.7273	-0.80086	-7.17205	-7.02387	-20.78901	10.01039	-36.22562	-18.33448
"mult"	4	-0.0662865679012612	0.141969344753306	-0.315940330183567	2.04355837644946	-0.20752	-0.2107	-0.4193	-0.42624	0.00066	1.24929	-15.41513	-7.76334	-0.0668511021900229	-0.06484	-0.06572	-0.06772	-0.06913	0.9956	0.08291	11.71015	-0.34027	-1.20177747546795	-1.107	-1.12253	-1.27597	-1.30161	0.94569	0.29124	-0.85315	-3.54259
"mult"	4	-0.140737312543206	0.0881010365555994	-0.463580660062007	2.04355837644946	-0.23241	-0.24462	-0.67317	-0.70412	-0.99421	3.12882	-24.59595	-5.0395	-0.142753629992206	-0.1392	-0.14549	-0.13969	-0.14663	0.99922	0.06191	14.63178	-0.69622	-2.23043118933699	-1.94043	-2.03491	-2.41293	-2.53345	0.8588	0.83254	-11.35667	-9.02081
"mult"	4	-0.732885496830568	0.0923324744217098	-0.750473187572888	2.04355837644946	-0.0333	-0.02681	-1.47713	-1.46465	-39.55498	13.86503	-39.48308	-7.64481	-0.777060618674915	-0.83317	-0.74359	-0.7891	-0.74238	0.95567	0.4584	-5.38916	-1.70267	-3.87333646045881	-0.71434	-0.57478	-7.153	-7.05123	-20.46699	10.08752	-36.30237	-21.95518
"mult"	4	-0.465592104091775	0.237696186755784	-0.675546120076738	2.04355837644946	-0.12827	-0.09872	-1.26764	-1.20755	-7.60692	10.62201	-36.81867	-5.28683	-0.44890099842584	-0.48857	-0.39453	-0.48365	-0.42885	0.98767	0.40212	-4.07923	-1.35273	-3.79584847852706	-2.25718	-1.74174	-5.79798	-5.38649	-2.04315	6.31604	-31.62031	-11.59797
"add"	4	-0.141587198746856	0.126893159002066	-0.0747422130227025	2.04355837644946	-0.0865	-0.09208	-0.11451	-0.00588	0.69529	0.09596	10.249	-0.68185	-0.00851833044089159	-0.01023	-0.01086	-0.01222	-0.00077	0.59293	0.11091	8.80097	-0.53392	-0.171779952492832	-0.20551	-0.21828	-0.24807	-0.01526	0.60544	0.10919	8.95695	-0.54708
"add"	4	-0.830551414960064	0.186676719400566	-0.211558892421932	3.28651436327249	-0.23164	-0.16904	-0.2417	-0.20385	0.92209	0.25068	0.64621	-0.98133	-0.0544153909398187	-0.06755	-0.05239	-0.05135	-0.04636	0.50566	0.63146	-8.59218	-1.33319	-1.0146421034956	-1.23782	-0.94564	-0.99209	-0.88301	0.65308	0.52899	-6.82156	-1.00166
"add"	4	-0.453795370354783	0.0467877787887119	-0.166951427703948	2.04355837644946	-0.16962	-0.14071	-0.19148	-0.16599	0.89084	0.14738	5.95831	-3.59373	-0.0236884763410242	-0.02715	-0.02287	-0.0239	-0.02084	0.97252	0.07394	12.85583	-0.57511	-0.464180099521731	-0.52566	-0.44174	-0.47527	-0.41405	0.98585	0.05305	16.17555	-0.0757
"add"	4	-0.417113728425466	0.139142448257189	-0.0835703140003792	4.40444915257212	-0.09182	-0.07087	-0.11249	-0.05911	0.99261	0.03783	19.55721	-0.53576	-0.0218455000093732	-0.02552	-0.01998	-0.02725	-0.01463	0.92912	0.11718	8.25118	-1.98942	-0.429271123469267	-0.49584	-0.38696	-0.54385	-0.29042	0.95242	0.09601	10.24341	-1.69648
"add"	4	-0.901982619450428	0.0738925607292913	-0.269628564888376	2.04355837644946	-0.23146	-0.19612	-0.32837	-0.32257	0.65458	0.53501	-6.93475	-5.88621	-0.0493263328565888	-0.05425	-0.04698	-0.04877	-0.0473	0.95677	0.18928	3.456	-3.78108	-0.921735019009062	-0.98587	-0.84948	-0.93909	-0.91251	0.99086	0.08703	11.22518	-1.78581
"add"	4	-0.0889639240456745	0.141048563702498	-0.0239616137208716	2.04355837644946	-0.02186	0.01628	-0.06709	-0.02317	-2.31566	0.13828	6.59526	-5.86147	-0.00246813007621788	-0.00251	0.00194	-0.00704	-0.00225	-2.20146	0.13588	6.77051	-6.47294	-0.0503041911981287	-0.05069	0.03894	-0.14324	-0.04622	-2.21195	0.1361	6.75416	-6.40279
"add"	4	-0.757144338975195	0.125568488554563	-0.241306662485216	2.04355837644946	-0.19047	-0.18129	-0.31806	-0.2754	0.76526	0.36417	-3.08817	-7.4641	-0.0406028198832881	-0.04059	-0.03887	-0.04438	-0.03856	0.94934	0.16917	4.57885	-4.31611	-0.771736273295128	-0.75096	-0.71827	-0.86606	-0.75165	0.98095	0.10374	9.4692	-1.37037
"add"	4	-0.213937429396901	0.134734063642099	-0.114618745949773	2.04355837644946	-0.07628	-0.17516	-0.12277	-0.08427	0.50263	0.17957	3.98271	-0.36721	-0.0136901484612731	-0.00939	-0.02185	-0.0137	-0.00982	0.30428	0.21238	2.30462	-0.19479	-0.274630506388243	-0.18793	-0.43657	-0.27664	-0.19738	0.32716	0.20885	2.47182	-0.21121
"add"	4	-0.770945329626556	0.190901218447834	-0.245993536312039	2.04355837644946	-0.18109	-0.19869	-0.33374	-0.27045	0.79456	0.36833	-3.2017	-7.56809	-0.0423004596967181	-0.03997	-0.04336	-0.04741	-0.03846	0.9351	0.20702	2.56	-4.90958	-0.800768944273296	-0.73456	-0.79868	-0.92233	-0.7475	0.97498	0.12853	7.32616	-3.36892
"add"	4	-0.903244897932746	0.0671573361614719	-0.260495848468598	2.04355837644946	-0.21315	-0.22017	-0.30135	-0.30732	0.54923	0.63155	-8.59353	-8.82527	-0.047549621473479	-0.04955	-0.05102	-0.04477	-0.04486	0.99265	0.08064	11.98799	-3.32853	-0.889446704431944	-0.90135	-0.9288	-0.86167	-0.86597	0.99672	0.05389	16.01946	-1.53815
"add"	4	-0.770383860752918	0.216813631530385	-0.234071543866723	2.04355837644946	-0.21787	-0.21073	-0.25292	-0.25477	0.67435	0.46564	-5.54594	-9.13274	-0.0398243467497187	-0.04452	-0.04317	-0.03497	-0.03664	0.98881	0.08633	11.30588	-3.82826	-0.756390877971495	-0.82919	-0.80367	-0.68213	-0.71057	0.99464	0.05975	14.98716	-4.03896
"add"	4	-0.417758164892439	0.182667819783092	-0.148814564285653	2.04355837644946	-0.14755	-0.07536	-0.20395	-0.1684	0.33927	0.30776	-1.40497	-4.72532	-0.0203373535114483	-0.0239	-0.01222	-0.0247	-0.02053	0.84717	0.14801	5.91516	-3.37388	-0.400437555031669	-0.46219	-0.23625	-0.49365	-0.40966	0.80553	0.16697	4.71031	-3.66331
"add"	4	-0.401678566739429	0.111297967669088	-0.0661094592680863	5.90959916666333	-0.03893	-0.08457	-0.06889	-0.07204	0.89514	0.13148	7.09931	-2.23384	-0.0220945456175245	-0.01414	-0.02947	-0.02225	-0.02252	0.85744	0.15331	5.56373	-1.87336	-0.435625660753521	-0.2731	-0.57564	-0.44224	-0.45153	0.87386	0.14421	6.17541	-1.93766
"add"	4	-0.735061092139222	0.225785834947601	-0.246064871021305	2.04355837644946	-0.22952	-0.25936	-0.31122	-0.18416	0.78289	0.39206	-3.82604	-3.28568	-0.0414825374571365	-0.04529	-0.05094	-0.04197	-0.02773	0.93995	0.20619	2.60001	-1.65848	-0.789429434764288	-0.84787	-0.9547	-0.82201	-0.53314	0.96166	0.16475	4.8437	-2.30808
"add"	4	-0.101618535548914	0.204413948988076	-0.117273161175392	2.08248377351774	-0.02036	-0.26455	-0.04455	-0.13963	-1.73989	0.49903	-6.23855	-3.46593	-0.0134512324480009	-0.00336	-0.02943	-0.00566	-0.01535	-1.91267	0.51453	-6.54431	-3.62456	-0.27145209677394	-0.06537	-0.59629	-0.113	-0.31115	-1.89515	0.51298	-6.51413	-3.60829
"add"	4	-0.992989550461061	0.0695115947164595	-0.282923716460526	2.04355837644946	-0.24261	-0.22729	-0.3697	-0.2921	0.61398	0.66374	-9.09081	-4.97804	-0.0546316226388718	-0.06025	-0.05682	-0.0556	-0.04585	0.95557	0.22517	1.71959	-2.46442	-1.00949377465836	-1.08176	-1.01846	-1.06594	-0.87181	0.98841	0.11502	8.43738	-1.35148
"add"	4	-0.883017785847187	0.132065798912663	-0.266671678488091	2.04355837644946	-0.17576	-0.19827	-0.35793	-0.33473	0.49029	0.6238	-8.47007	-6.30139	-0.0480607823591036	-0.04314	-0.04802	-0.05149	-0.04959	0.99071	0.08421	11.55501	-3.68094	-0.899498597908144	-0.77688	-0.86742	-0.99775	-0.95595	0.99337	0.07115	13.23981	-4.09339
"add"	4	-0.348225881753024	0.16900145629188	-0.160165725837976	2.02463357406213	-0.15628	-0.16184	-0.13958	-0.18296	0.91546	0.1184	8.1479	-1.56995	-0.0221992527975755	-0.0241	-0.02482	-0.01793	-0.02195	0.70528	0.22106	1.90382	-1.38317	-0.436200588735437	-0.46852	-0.48286	-0.35503	-0.43839	0.75195	0.2028	2.76589	-1.33742
"add"	4	-0.959369726106524	0.242642836761661	-0.124308952988963	6.86130908064482	-0.14812	-0.1246	-0.12618	-0.09834	0.97315	0.17728	4.11092	-1.36204	-0.0570987603869566	-0.07281	-0.06184	-0.05158	-0.04217	0.83586	0.43828	-4.94041	-2.71589	-1.06077524256068	-1.33001	-1.12522	-0.99057	-0.79729	0.90611	0.33149	-2.14775	-1.92519
"add"	4	-0.500499171437696	0.015499449276831	-0.175213130890824	2.04355837644946	-0.15847	-0.15051	-0.19158	-0.2003	0.816	0.21703	2.08785	-6.79408	-0.0256068845463864	-0.02686	-0.0256	-0.02457	-0.02541	0.99474	0.0367	19.86016	-2.55937	-0.499404412791824	-0.51582	-0.49125	-0.48658	-0.50398	0.99881	0.01743	27.30729	-2.42328
"add"	4	-0.0807843549060636	0.161685716651846	-0.0592926570185698	1.82136267307542	-0.04956	-0.09358	-0.08972	-0.00432	0.54504	0.14609	6.04576	-4.19718	-0.00603935102664035	-0.00505	-0.00969	-0.0081	-0.00132	0.52339	0.14953	5.81332	-3.82843	-0.121960517104158	-0.10194	-0.19547	-0.16523	-0.0252	0.52694	0.14897	5.85069	-3.86149
"add"	4	-0.938501181302126	0.192607410950586	-0.283142416945712	2.04355837644946	-0.22902	-0.19247	-0.37871	-0.33236	0.67756	0.5147	-6.54776	-4.73433	-0.0520509283603009	-0.05531	-0.04775	-0.05662	-0.04853	0.90613	0.27771	-0.37765	-1.78015	-0.97071995706163	-0.99924	-0.85754	-1.08949	-0.93661	0.95907	0.18338	3.77259	-2.43924
"add"	4	-0.465228355058935	0.174664936785121	-0.144185203889256	2.04355837644946	-0.12181	-0.13699	-0.21205	-0.10589	0.59751	0.27908	-0.4268	-2.84557	-0.020379258691677	-0.02002	-0.0222	-0.02574	-0.01355	0.9389	0.10874	8.99887	-0.62812	-0.39946362114746	-0.38628	-0.42914	-0.51388	-0.26856	0.91879	0.12536	7.57628	-0.86904
"add"	4	-0.86178887487622	0.114255613996647	-0.269858668336478	2.04355837644946	-0.19019	-0.25636	-0.33527	-0.29762	0.76057	0.46503	-5.53277	-8.62946	-0.0494713764684424	-0.04528	-0.05847	-0.04954	-0.04459	0.92066	0.2677	-0.01047	-5.2632	-0.924905246655668	-0.81939	-1.06813	-0.95488	-0.85722	0.97119	0.16132	5.05422	-3.28159
"add"	4	-0.642745280533563	0.116060232103337	-0.217022175258665	2.04355837644946	-0.18647	-0.18814	-0.23152	-0.26196	0.7594	0.33031	-2.11204	-8.50228	-0.0350441256293578	-0.03637	-0.03665	-0.03147	-0.03569	0.97029	0.11606	8.34674	-3.73838	-0.671852500311343	-0.68301	-0.68851	-0.61665	-0.69925	0.98756	0.07511	12.69801	-2.44467
"add"	4	-0.628258874372114	0.210055976873264	-0.176424725084684	2.80713474700873	-0.21487	-0.1973	-0.1329	-0.16062	0.93091	0.17343	4.33065	-1.19077	-0.0344876823159295	-0.04487	-0.04143	-0.02242	-0.02923	0.76921	0.31697	-1.69982	-1.11455	-0.666887883632389	-0.86112	-0.79407	-0.44237	-0.56999	0.81501	0.28378	-0.59387	-1.14039
"add"	4	-0.212929348077159	0.222475270158611	-0.158425934838209	2.04355837644946	-0.16727	-0.22778	-0.10636	-0.1323	0.37998	0.27664	-0.33887	-1.00476	-0.0195033337370548	-0.02088	-0.02875	-0.01244	-0.01595	0.2884	0.29636	-1.02765	-0.50881	-0.389701463168352	-0.41679	-0.57321	-0.24979	-0.31903	0.29885	0.29418	-0.95368	-0.56031
"add"	4	-0.923267215443775	0.142551508208271	-0.277085118266033	2.04355837644946	-0.1981	-0.22241	-0.36155	-0.32628	0.5903	0.63378	-8.62882	-9.81427	-0.0516220081217328	-0.04914	-0.05444	-0.05299	-0.04992	0.97416	0.15918	5.18812	-1.47469	-0.960424250498656	-0.88261	-0.98087	-1.02228	-0.95595	0.99469	0.07217	13.09773	-1.4699
"add"	4	-0.481505271594506	0.157945685728919	-0.160338802737828	2.04355837644946	-0.1896	-0.15857	-0.14066	-0.15253	0.56329	0.32336	-1.8996	-2.48996	-0.0230081415616371	-0.03023	-0.02558	-0.01645	-0.01977	0.89468	0.1588	5.21191	-1.08105	-0.450103848258683	-0.58562	-0.49446	-0.32959	-0.39074	0.87499	0.17301	4.35477	-1.15231
"add"	4	-0.653075913782232	0.101674231758807	-0.213260885800148	2.04355837644946	-0.18944	-0.16407	-0.28404	-0.21549	0.72381	0.36067	-2.99147	-9.16216	-0.0339610979326316	-0.03659	-0.03195	-0.03834	-0.02895	0.9898	0.06932	13.50141	-1.98442	-0.652556725659304	-0.68857	-0.60026	-0.75284	-0.56856	0.99315	0.05681	15.4904	-2.23838
"add"	4	-0.125707037083339	0.223203292465769	-0.0955094710288427	2.11492275086125	-0.30291	0.08969	-0.11609	-0.05273	0.49011	0.18715	3.56911	-1.4845	-0.0100704624154902	-0.03246	0.01115	-0.01306	-0.00591	0.51232	0.18303	3.79183	-1.05392	-0.205521722052913	-0.66093	0.22323	-0.26467	-0.11972	0.51202	0.18308	3.78872	-1.09668
"add"	4	-0.893891189305577	0.203302308393177	-0.137424519798749	5.58905380246794	-0.17333	-0.11854	-0.14537	-0.11245	0.99877	0.03619	20.00138	-1.7285	-0.0527916398710897	-0.07122	-0.05058	-0.0497	-0.03966	0.82925	0.42702	-4.68015	-7.78528	-0.985537859088565	-1.3118	-0.91998	-0.95502	-0.75535	0.90731	0.31462	-1.62562	-6.76904
"add"	4	-0.77584368592361	0.187406133045442	-0.228536757958778	2.04355837644946	-0.11533	-0.22198	-0.29928	-0.27755	0.4979	0.49467	-6.15082	-3.48536	-0.0383406745409405	-0.02626	-0.04685	-0.04109	-0.03915	0.97165	0.11755	8.21951	-0.38947	-0.728605975552647	-0.47976	-0.869	-0.80347	-0.76219	0.96662	0.12755	7.40306	-0.41729
"add"	4	-0.391879170679022	0.173149446200114	-0.134710828002261	2.04355837644946	-0.15065	-0.06955	-0.16653	-0.15212	0.54862	0.25168	0.60656	-3.04658	-0.0174593902519677	-0.02247	-0.00984	-0.0197	-0.01783	0.81314	0.16193	5.01628	-1.88305	-0.346523563992099	-0.43928	-0.19389	-0.39504	-0.35789	0.79257	0.17061	4.49412	-2.01063
"add"	4	-0.329685793397948	0.109650025609881	-0.123717186034203	2.45827888271376	-0.12169	-0.137	-0.12769	-0.10848	0.98787	0.04202	18.50709	-2.02476	-0.0191440544748424	-0.02025	-0.02266	-0.01834	-0.01532	0.89246	0.12509	7.59748	-2.96352	-0.378654320244889	-0.39715	-0.44488	-0.3661	-0.30648	0.91555	0.11086	8.80579	-2.57057
"add"	4	-0.604454971116502	0.134137838613242	-0.21566129278179	2.04355837644946	-0.23555	-0.13152	-0.29575	-0.19983	0.81695	0.28401	-0.60177	-3.3341	-0.034706154204633	-0.04455	-0.0269	-0.03944	-0.02794	0.94108	0.16112	5.06646	-1.61258	-0.665697465703153	-0.84142	-0.50083	-0.77548	-0.54505	0.97132	0.11242	8.66574	-1.0168
"add"	4	-0.398906824085861	0.00866643048357219	-0.148433776118138	2.04355837644946	-0.13633	-0.13393	-0.16478	-0.15869	0.87622	0.14403	6.18767	-8.02817	-0.0204580910458011	-0.02121	-0.02086	-0.02021	-0.01954	0.99545	0.02762	22.70322	-4.61829	-0.402639421102914	-0.41234	-0.40548	-0.40315	-0.38959	0.99963	0.00783	35.30537	-1.72063
"add"	4	-0.137010621069931	0.128769924514927	-0.0671811308839966	2.04355837644946	-0.01897	-0.0861	-0.05727	-0.10638	0.45967	0.1117	8.72956	-3.02597	-0.00744009771161633	-0.00219	-0.01012	-0.00604	-0.01141	0.55179	0.10174	9.66418	-2.83672	-0.150514624735378	-0.04418	-0.20353	-0.12274	-0.23162	0.54398	0.10262	9.57781	-2.85324
